"","Gross sales","Net sales","First time sales","Recurring sales","Refund ","Void ","Chargeback ","Monthly","Percentage",
"e","$10,752.86 (25 sales)","$8,510.91 (17 sales)","$10,482.87 (12 unique)","$269.99 (3 unique)","$0.00 (0) 0.00%","$2,241.95 (8) 20.85%","$0.00 (0) 0.00%","$0.00/$40,000.00","0","",
"Meritus","$10,752.86 (25 sales)","$8,510.91 (17 sales)","$10,482.87 (12 unique)","$269.99 (3 unique)","$0.00 (0) 0.00%","$2,241.95 (8) 20.85%","$0.00 (0) 0.00%","$0.00/$40,000.00","5.00% first time 5.00% recurring ","%",
